종목코드,종목명,자기주식 제외 시가총액(A*B),종가,자기주식 제외 발행주식수(B=C-D),총발행주식수(C),자기주식수(D),자기주식수 반영시점
"060310","3S","75078541600","1415","53059040","53059040","0","2025-09"
"095570","AJ네트웍스","229572886500","5130","44751050","45252759","501709","2025-09"
"006840","AK홀딩스","110625797600","8480","13045495","13247561","202066","2025-09"
"054620","APS","128877252000","8400","15342530","18394221","3051691","2025-09"
"265520","AP시스템","308361783900","20850","14789534","15050821","261287","2025-09"
"211270","AP위성","226022596680","15880","14233161","15082304","849143","2025-09"
"139050","BF랩스","24234697905","2805","8639821","8644551","4730","2025-09"
"027410","BGF","490985969580","5130","95708766","95716791","8025","2025-09"
"282330","BGF리테일","2264754466500","131100","17275015","17283906","8891","2025-09"
"126600","BGF에코머티리얼즈","255746946000","4130","61924200","62766899","842699","2025-09"
"138930","BNK금융지주","5680331258850","18450","307877033","310327033","2450000","2025-09"
"001460","BYC","294209116200","47700","6167906","6246150","78244","2025-09"
"083790","CG인바이츠","100270013328","1304","76894182","76894182","0","2025-09"
"001040","CJ","5546983275000","205000","27058455","29176998","2118543","2025-09"
"079160","CJ CGV","783204591180","4730","165582366","165582366","0","2025-09"
"035760","CJ ENM","1107774936600","53400","20744849","21929154","1184305","2025-09"
"311690","CJ 바이오사이언스","100342748160","7680","13065462","13065462","0","2025-09"
"000120","CJ대한통운","2130139777200","106800","19945129","22812344","2867215","2025-09"
"011150","CJ씨푸드","97911356425","2725","35930773","35930773","0","2025-09"
"097950","CJ제일제당","3505205641500","238500","14696879","15054186","357307","2025-09"
"051500","CJ프레시웨이","323500718500","27250","11871586","11871586","0","2025-09"
"058820","CMG제약","262124190459","1773","147842183","147842183","0","2025-09"
"056730","CNT85","33281561644","478","69626698","74111186","4484488","2025-09"
"000480","CR홀딩스","207520456560","5030","41256552","46890490","5633938","2025-09"
"065770","CS","50565993650","2605","19411130","19411130","0","2025-09"
"083660","CSA 코스믹","16422688440","270","60824772","62829459","2004687","2025-09"
"000590","CS홀딩스","79281587000","77000","1029631","1154482","124851","2025-09"
"012030","DB","319212020643","1671","191030533","201173933","10143400","2025-09"
"477760","DB금융스팩12호","13023200000","2230","5840000","5840000","0","2025-09"
"005830","DB손해보험","9925630501700","169300","58627469","69384000","10756531","2025-09"
"016610","DB증권","529186510190","13210","40059539","42446389","2386850","2025-09"
"000990","DB하이텍","3815472195600","94800","40247597","43504588","3256991","2025-09"
"099520","DGI","58000622016","1284","45171824","45281824","110000","2025-09"
"000300","DH오토넥스","174035631000","4200","41437055","41437055","0","2025-09"
"290120","DH오토리드","42883714790","2710","15824249","15824249","0","2025-09"
"025440","DH오토웨어","38777617215","795","48776877","48781224","4347","2025-09"
"001530","DI동일","496129623600","25150","19726824","19729280","2456","2025-09"
"015590","DKME","122045493615","515","236981541","236981544","3","2025-09"
"000210","DL","1373055691200","65600","20930727","20955884","25157","2025-09"
"375500","DL이앤씨","3623609115000","94500","38345070","38693623","348553","2025-09"
"068790","DMS","170124867250","7930","21453325","22570224","1116899","2025-09"
"007340","DN오토모티브","1829796244500","35350","51762270","58510865","6748595","2025-09"
"004840","DRB동일","101758081920","5280","19272364","19930000","657636","2025-09"
"241520","DSC인베스트먼트","364825701660","14140","25800969","27000000","1199031","2025-09"
"155660","DSR","70480000000","4405","16000000","16000000","0","2025-09"
"069730","DSR제강","76320000000","5300","14400000","14400000","0","2025-09"
"017860","DS단석","331313556240","18940","17492796","17584212","91416","2025-09"
"180400","DXVX","485253471280","4930","98428696","98429432","736","2025-09"
"092780","DYP","56036938080","4440","12620932","13168460","547528","2025-09"
"017940","E1","550422695200","95200","5781751","6860000","1078249","2025-09"
"418620","E8","25468161991","1283","19850477","19850477","0","2025-09"
"245620","EDGC","57441040175","415","138412145","138493951","81806","2025-09"
"037370","EG","44073606920","5110","8624972","8624972","0","2025-09"
"050120","ES큐브","34824678200","2600","13394107","13564086","169979","2025-09"
"383220","F&F","2514971496000","67000","37536888","38307075","770187","2025-09"
"007700","F&F홀딩스","738420977700","18900","39069893","39114367","44474","2025-09"
"214270","FSN","96621456960","2160","44732156","44735105","2949","2025-09"
"130500","GH신소재","37380734810","2570","14545033","14545052","19","2025-09"
"114090","GKL","750309277100","12130","61855670","61855670","0","2025-09"
"078930","GS","6660606991500","71700","92895495","92915378","19883","2025-09"
"083450","GST","578286497250","32350","17875935","18430000","554065","2025-09"
"006360","GS건설","3196066896750","37650","84888895","85581490","692595","2025-09"
"001250","GS글로벌","293682919120","3560","82495202","82533764","38562","2025-09"
"007070","GS리테일","1850977818500","22150","83565590","83607415","41825","2025-09"
"499790","GS피앤엘","885361745000","44750","19784620","19830841","46221","2025-09"
"297890","HB솔루션","149573169130","2045","73140914","73140914","0","2025-09"
"440290","HB인베스트먼트","56663245800","2060","27506430","27506430","0","2025-09"
"078150","HB테크놀러지","210585444660","2370","88854618","92715916","3861298","2025-09"
"225530","HC보광산업","146080975020","4020","36338551","36338727","176","2025-09"
"060560","HC홈센타","106395443913","843","126210491","126940008","729517","2025-09"
"012630","HDC","1363771862550","27550","49501701","59741721","10240020","2025-09"
"039570","HDC랩스","187011233420","8140","22974353","25957601","2983248","2025-09"
"089470","HDC현대EP","132608000000","5120","25900000","31900000","6000000","2025-09"
"267270","HD건설기계","7805388998600","162700","47974118","47974118","0","2025-09"
"009540","HD한국조선해양","27861564220000","394000","70714630","70773116","58486","2025-09"
"267250","HD현대","17808444360000","252000","70668430","78993085","8324655","2025-09"
"443060","HD현대마린솔루션","8356560844000","186400","44831335","44831335","0","2025-09"
"071970","HD현대마린엔진","2723894281900","80300","33921473","33921495","22","2025-09"
"322000","HD현대에너지솔루션","1886080000000","168400","11200000","11200000","0","2025-09"
"267260","HD현대일렉트릭","35956711296000","999000","35992704","36047135","54431","2025-09"
"329180","HD현대중공업","49856581875000","475000","104961225","104961225","0","2025-09"
"376270","HEM파마","451382162300","62900","7176187","7186187","10000","2025-09"
"097230","HJ중공업","2338495537700","25900","90289403","90295344","5941","2025-09"
"195940","HK이노엔","1369750229850","48350","28329891","28329891","0","2025-09"
"014790","HL D&I","133640861530","3530","37858601","37858601","0","2025-09"
"028300","HLB","7547384291200","56800","132876484","133132504","256020","2025-09"
"003580","HLB글로벌","107140919175","2115","50657645","50663505","5860","2025-09"
"278650","HLB바이오스텝","108999469096","1288","84626917","87161984","2535067","2025-09"
"067630","HLB생명과학","503837915630","4135","121847138","121917058","69920","2025-09"
"024850","HLB이노베이션","727075392120","4620","157375626","157382650","7024","2025-09"
"187420","HLB제넥스","79750974720","2715","29374208","29374208","0","2025-09"
"047920","HLB제약","571354660500","17420","32798775","32799356","581","2025-09"
"115450","HLB테라퓨틱스","292675791880","3320","88155359","88580109","424750","2025-09"
"046210","HLB파나진","110721042490","2435","45470654","45470654","0","2025-09"
"196300","HLB펩","67655937440","7280","9293398","9293398","0","2025-09"
"204320","HL만도","2371334560000","50500","46957120","46957120","0","2025-09"
"060980","HL홀딩스","378426248700","42100","8988747","9078847","90100","2025-09"
"011200","HMM","20421102050500","21650","943237970","943237970","0","2025-09"
"403870","HPSP","3624083262500","45550","79562750","82300000","2737250","2025-09"
"036640","HRS","82945360350","5190","15981765","16354800","373035","2025-09"
"035000","HS애드","132488268440","8360","15847879","16207644","359765","2025-09"
"002460","HS화성","120012763720","12680","9464729","10150000","685271","2025-09"
"487570","HS효성","200877503400","54200","3706227","3725927","19700","2025-09"
"298050","HS효성첨단소재","953922697000","213500","4468022","4479948","11926","2025-09"
"467930","IBKS제23호스팩","9454050000","2235","4230000","4230000","0","2025-09"
"469480","IBKS제24호스팩","9200250000","2175","4230000","4230000","0","2025-09"
"0099X0","IBKS제25호스팩","13096200000","2190","5980000","5980000",,"자료 없음"
"015360","INVENI","419982240000","16160","25989000","27250000","1261000","2025-09"
"294870","IPARK현대산업개발","1450108432500","22750","63741030","65907330","2166300","2025-09"
"095340","ISC","5269529440000","257500","20464192","21197058","732866","2025-09"
"175330","JB금융지주","5712382106950","30950","184568081","188253584","3685503","2025-09"
"234080","JW생명과학","197892600120","12780","15484554","15834554","350000","2025-09"
"067290","JW신약","112878660500","2020","55880525","56037103","156578","2025-09"
"001060","JW중외제약","726094479600","32200","22549518","23285930","736412","2025-09"
"096760","JW홀딩스","288871702725","4175","69190827","73924942","4734115","2025-09"
"035900","JYP Ent.","1994610151800","60200","33133059","35532492","2399433","2025-09"
"318000","KBG","36841793835","4235","8699361","8740223","40862","2025-09"
"008970","KBI동양철관","204593087160","1972","103749030","103766907","17877","2025-09"
"024840","KBI메탈","86398440880","2480","34838081","34909199","71118","2025-09"
"105560","KB금융","55965433764100","158300","353540327","372850455","19310128","2025-09"
"024120","KB오토시스","43355000000","3770","11500000","11500000","0","2025-09"
"464680","KB제27호스팩","26906925000","2085","12905000","12905000","0","2025-09"
"478390","KB제29호스팩","12906500000","2075","6220000","6220000","0","2025-09"
"486630","KB제30호스팩","10965150000","2065","5310000","5310000","0","2025-09"
"492220","KB제31호스팩","12823650000","2065","6210000","6210000","0","2025-09"
"0037T0","KB제32호스팩","12786600000","2020","6330000","6330000","0","2025-09"
"0072Z0","KB제33호스팩","15809425000","2005","7885000","7885000","0","2025-09"
"002380","KCC","3868293946000","526000","7354171","8886471","1532300","2025-09"
"021320","KCC건설","139817506360","7010","19945436","21400000","1454564","2025-09"
"344820","KCC글라스","428078491050","26850","15943333","15970512","27179","2025-09"
"009070","KCTC","187200000000","6240","30000000","30000000","0","2025-09"
"009440","KC그린홀딩스","17334430596","756","22929141","23239141","310000","2025-09"
"119650","KC코트렐","100782913662","918","109785309","109785309","0","2025-09"
"044180","KD","5475794155","205","26711191","26717799","6608","2025-09"
"092220","KEC","289098923040","1440","200763141","200763141","0","2025-09"
"046440","KG모빌리언스","183496464740","5090","36050386","38010802","1960416","2025-09"
"003620","KG모빌리티","771048414720","3810","202374912","202374912","0","2025-09"
"016380","KG스틸","547788134960","5660","96782356","100008897","3226541","2025-09"
"151860","KG에코솔루션","270197277560","6440","41956099","47603002","5646903","2025-09"
"035600","KG이니시스","283486897200","10650","26618488","27554434","935946","2025-09"
"001390","KG케미칼","372883163000","5650","65997020","67233030","1236010","2025-09"
"060720","KH바텍","298827713520","13560","22037442","23677442","1640000","2025-09"
