종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"060310","3S","1415","77","5.75",,,,,"933","1.52","0","0.00"
"095570","AJ네트웍스","5130","50","0.98","485","10.58","501","10.25","9902","0.52","270","5.26"
"006840","AK홀딩스","8480","150","1.80",,,,,"40295","0.21","400","4.72"
"054620","APS","8400","-510","-5.72",,,,,"11326","0.74","0","0.00"
"265520","AP시스템","20850","1240","6.32","3448","6.05",,,"22405","0.93","530","2.54"
"211270","AP위성","15880","160","1.02","733","21.66",,,"7393","2.15","0","0.00"
"139050","BF랩스","2805","0","0.00",,,,,"2348","1.19","0","0.00"
"027410","BGF","5130","0","0.00","963","5.33","696","7.37","18202","0.28","130","2.53"
"282330","BGF리테일","131100","-16700","-11.30","11301","11.60","12528","10.46","68546","1.91","4100","3.13"
"126600","BGF에코머티리얼즈","4130","120","2.99","259","15.95",,,"6475","0.64","50","1.21"
"138930","BNK금융지주","18450","990","5.67","2174","8.49","2865","6.44","33604","0.55","650","3.52"
"001460","BYC","47700","600","1.27","2205","21.63",,,"66074","0.72","350","0.73"
"001465","BYC우","30750","100","0.33",,,,,,,"355","1.15"
"083790","CG인바이츠","1304","32","2.52",,,,,"1072","1.22","0","0.00"
"001040","CJ","205000","4000","1.99","2993","68.49","12218","16.78","162804","1.26","3000","1.46"
"079160","CJ CGV","4730","65","1.39",,,,,"4177","1.13","0","0.00"
"035760","CJ ENM","53400","500","0.95",,,"3747","14.25","134764","0.40","0","0.00"
"311690","CJ 바이오사이언스","7680","170","2.26",,,,,"5951","1.29","0","0.00"
"00104K","CJ4우(전환)","174500","2000","1.16",,,,,,,"3050","1.75"
"000120","CJ대한통운","106800","3400","3.29","12088","8.84","13471","7.93","197983","0.54","800","0.75"
"011150","CJ씨푸드","2725","50","1.87","139","19.60",,,"2315","1.18","0","0.00"
"011155","CJ씨푸드1우","12980","-20","-0.15",,,,,,,"0","0.00"
"001045","CJ우","85900","800","0.94",,,,,,,"3050","3.55"
"097950","CJ제일제당","238500","6000","2.58","9244","25.80","25896","9.21","490755","0.49","6000","2.52"
"097955","CJ제일제당 우","137100","700","0.51",,,,,,,"6050","4.41"
"051500","CJ프레시웨이","27250","700","2.64","2184","12.48","5855","4.65","34990","0.78","450","1.65"
"058820","CMG제약","1773","29","1.66","19","93.32",,,"1365","1.30","0","0.00"
"056730","CNT85","478","26","5.75",,,,,"1021","0.47","0","0.00"
"000480","CR홀딩스","5030","85","1.72",,,,,"14790","0.34","410","8.15"
"065770","CS","2605","160","6.54","56","46.52",,,"957","2.72","0","0.00"
"083660","CSA 코스믹","270","9","3.45",,,,,"267","1.01","0","0.00"
