name,stockCode,corpCode,market,sector,marketCap,per,roe,pbr,debtRatio,opMargin,dividendYield,netCash,catalyst,governance,confidence,source
F&F보통주,383220,01568413,KOSPI,주권,,7.05,23.19,1.61,41.13,24.23,2.54,,medium,,medium,opendart-acnt:2025:11011
(주)마이크로컨텍솔루션,098120,00568188,KOSDAQ,중견기업부,,23.23,23.17,3.82,19,17.69,0.27,,medium,,medium,opendart-acnt:2025:11011
LS에코에너지보통주,229640,01093007,KOSPI,주권,,43.45,22.93,7.4,117.63,6.96,0.45,,medium,,,opendart-acnt:2025:11011
JW홀딩스 보통주,096760,00632304,KOSPI,주권,,4.78,20.7,1.29,107.05,17.32,2.75,,medium,,medium,opendart-acnt:2025:11011
DB손해보험보통주,005830,00159102,KOSPI,주권,,5.49,17.62,1.09,576.91,,4.02,,,,,opendart-acnt:2025:11011
JW중외제약보통주,001060,00149947,KOSPI,주권,,12.18,17.6,2.4,63.87,12.18,1.4,,,,medium,opendart-acnt:2025:11011
LIG넥스원보통주,079550,00503668,KOSPI,주권,,90.53,17.33,16.58,446.35,7.42,0.26,,,,,opendart-acnt:2025:11011
BGF리테일보통주,282330,01263022,KOSPI,주권,,11.6,15.64,1.91,170.83,2.8,3.13,,,,,opendart-acnt:2025:11011
INVENI보통주,015360,00105101,KOSPI,주권,,11.9,15.46,0.73,141.35,8.41,4.95,,medium,,,opendart-acnt:2025:11011
LS ELECTRIC보통주,010120,00105855,KOSPI,주권,,97.55,14.1,12.73,131.48,8.59,0.37,,,,,opendart-acnt:2025:11011
DSR제강보통주,069730,00151298,KOSPI,주권,,,13.97,0.46,37.51,12.37,1.89,,medium,,,opendart-acnt:2025:11011
JW생명과학보통주,234080,00225706,KOSPI,주권,,4.5,13.59,0.99,44.26,12.89,3.91,,,,,opendart-acnt:2025:11011
JB금융지주보통주,175330,00980122,KOSPI,주권,,9,12.27,1.05,1084.16,,3.21,,,,,opendart-acnt:2025:11011
DB Inc.보통주,012030,00163345,KOSPI,주권,,3.44,11.71,0.81,119.77,6.46,0,,,,,opendart-acnt:2025:11011
F&F홀딩스,007700,00126487,KOSPI,주권,,6.9,10.49,0.33,19.24,22.45,2.38,,,,,opendart-acnt:2025:11011
HJ중공업보통주,097230,00633835,KOSPI,주권,,404.69,10.16,6.28,266.36,3.35,0,,,,,opendart-acnt:2025:11011
KB금융지주 보통주,105560,00688996,KOSPI,주권,,12.29,9.68,1.02,1211.73,,2.01,,,,,opendart-acnt:2025:11011
HS애드보통주,035000,00140168,KOSPI,주권,,5.97,8.38,0.67,139.56,5.68,6.58,,,,,opendart-acnt:2025:11011
HDC보통주,012630,00164636,KOSPI,주권,,9.49,7.91,0.52,133.68,9.85,1.27,,,,,opendart-acnt:2025:11011
DB증권보통주,016610,00115694,KOSPI,주권,,10.71,7.83,0.52,1028.92,6.07,3.03,,,,,opendart-acnt:2025:11011
KPX케미칼보통주,025000,00191472,KOSPI,주권,,3.8,7.56,0.35,31.57,3.39,6.36,,,,,opendart-acnt:2025:11011
LX세미콘보통주,108320,00525934,KOSPI,주권,,6.39,7.49,0.77,24.36,6.64,4.68,,,,,opendart-acnt:2025:11011
BNK금융지주보통주,138930,00858364,KOSPI,주권,,8.49,7.47,0.55,1333,,3.52,,,,,opendart-acnt:2025:11011
DL이앤씨보통주,375500,01524093,KOSPI,주권,,17.46,7.34,0.83,84.38,5.23,0.57,,,,,opendart-acnt:2025:11011
KPX홀딩스보통주,092230,00587466,KOSPI,주권,,4.25,7.31,0.33,32.58,3.69,5.05,,,,,opendart-acnt:2025:11011
KCTC 보통주,009070,00103042,KOSPI,주권,,7.26,7.29,0.63,136.79,3.93,1.2,,,,,opendart-acnt:2025:11011
NI스틸보통주,008260,00116301,KOSPI,주권,,4.24,7.23,0.42,90.86,12.15,2.62,,,,,opendart-acnt:2025:11011
KG스틸보통주,016380,00115676,KOSPI,주권,,4.23,6.75,0.28,50.85,4.72,4.42,,,,,opendart-acnt:2025:11011
LS보통주,006260,00105952,KOSPI,주권,,33.83,6.66,1.75,225.47,3.3,0.56,,,,,opendart-acnt:2025:11011
NAVER보통주,035420,00266961,KOSPI,주권,,15.9,6.5,1.18,41.9,18.35,0.56,,,,,opendart-acnt:2025:11011
LF보통주,093050,00593032,KOSPI,주권,,9.22,6.49,0.43,63.89,8.93,2.82,,,,,opendart-acnt:2025:11011
