name,stockCode,corpCode,sector,per,roe,pbr,debtRatio,opMargin,netCash,catalyst,governance,confidence,source
NAVER,035420,00266961,,,11035.19,,48654.28,18.35,,,,,opendart-acnt:2025:11011
F&amp;F,383220,01568413,,,10459.86,,15214.53,24.23,,,,,opendart-acnt:2025:11011
DB손해보험,005830,00159102,,,5058.14,,178211.92,,,,,,opendart-acnt:2025:11011
F&amp;F 홀딩스,007700,00126487,,,1881.18,,2926.46,22.45,,,,,opendart-acnt:2025:11011
BGF리테일,282330,01263022,,,1129.74,,7685.07,2.8,,,,,opendart-acnt:2025:11011
LX세미콘,108320,00525934,,,1016.13,,2955.45,6.64,,,,,opendart-acnt:2025:11011
KPX홀딩스,092230,00587466,,,552.55,,1981.61,3.69,,,,,opendart-acnt:2025:11011
BYC,001460,00122579,,,466.44,,2180.55,16.29,,,,,opendart-acnt:2025:11011
마이크로컨텍솔,098120,00568188,,,408.27,,253.88,17.69,,,,,opendart-acnt:2025:11011
NICE,034310,00158316,,,404.26,,10335.88,6.11,,,,,opendart-acnt:2025:11011
CS홀딩스,000590,00149026,,,363.73,,342.95,14.99,,,,,opendart-acnt:2025:11011
KG케미칼,001390,00101220,,,343.02,,4315.45,3.36,,,,,opendart-acnt:2025:11011
DSR제강,069730,00151298,,,342.69,,943.79,12.37,,,,,opendart-acnt:2025:11011
E1,017940,00165583,,,332.95,,31657.27,3.12,,,,,opendart-acnt:2025:11011
LS에코에너지,229640,01093007,,,316.58,,1695.15,6.96,,,,,opendart-acnt:2025:11011
JW홀딩스,096760,00632304,,,312.45,,1235.66,17.32,,,,,opendart-acnt:2025:11011
LS,006260,00105952,,,301.33,,8556.23,3.3,,,,,opendart-acnt:2025:11011
INVENI,015360,00105101,,,289.05,,1287.64,8.41,,,,,opendart-acnt:2025:11011
LG이노텍,011070,00105961,,,288.38,,3808.85,3.04,,,,,opendart-acnt:2025:11011
KB금융,105560,00688996,,,279.39,,35258.2,,,,,,opendart-acnt:2025:11011
NHN,181710,00983271,,,276.72,,8234.4,5.26,,,,,opendart-acnt:2025:11011
HL만도,204320,01042775,,,261.52,,6489.13,3.78,,,,,opendart-acnt:2025:11011
KPX케미칼,025000,00191472,,,224.05,,884.22,3.39,,,,,opendart-acnt:2025:11011
GS,078930,00500254,,,219.25,,1219.9,11.66,,,,,opendart-acnt:2025:11011
LIG넥스원,079550,00503668,,,215.89,,5650.46,7.42,,,,,opendart-acnt:2025:11011
엘에스일렉트릭,010120,00105855,,,189.5,,1243.11,8.59,,,,,opendart-acnt:2025:11011
DSR,155660,00110608,,,185.85,,1647.74,6.38,,,,,opendart-acnt:2025:11011
DL이앤씨,375500,01524093,,,161.45,,1625.23,5.23,,,,,opendart-acnt:2025:11011
케이씨티시,009070,00103042,,,155.39,,1911.68,3.93,,,,,opendart-acnt:2025:11011
HDC,012630,00164636,,,139.43,,1483.58,9.85,,,,,opendart-acnt:2025:11011
LG전자,066570,00401731,,,134.98,,3006.42,2.78,,,,,opendart-acnt:2025:11011
NI스틸,008260,00116301,,,132.67,,1458.52,12.15,,,,,opendart-acnt:2025:11011
LG,003550,00120021,,,124.79,,291.75,12.58,,,,,opendart-acnt:2025:11011
HS애드,035000,00140168,,,98.89,,1630.79,5.68,,,,,opendart-acnt:2025:11011
JW중외제약,001060,00149947,,,98.81,,335.98,12.18,,,,,opendart-acnt:2025:11011
LX인터내셔널,001120,00120076,,,81.66,,1645.06,1.75,,,,,opendart-acnt:2025:11011
LF,093050,00593032,,,80.39,,436.96,8.93,,,,,opendart-acnt:2025:11011
CJ,001040,00148540,,,79.66,,9065.12,5.61,,,,,opendart-acnt:2025:11011
JB금융지주,175330,00980122,,,74.12,,6797.41,,,,,,opendart-acnt:2025:11011
JW생명과학,234080,00225706,,,72.26,,213.27,12.89,,,,,opendart-acnt:2025:11011
LG에너지솔루션,373220,01515323,,,69.06,,14346.46,5.69,,,,,opendart-acnt:2025:11011
KB오토시스,024120,00157539,,,67.79,,1984.55,3.97,,,,,opendart-acnt:2025:11011
엔피씨,004250,00108038,,,61.61,,722.38,5.23,,,,,opendart-acnt:2025:11011
S-Oil,010950,00138279,,,60.7,,4188.8,0.69,,,,,opendart-acnt:2025:11011
AJ네트웍스,095570,00365387,,,60.5,,1636.07,6.69,,,,,opendart-acnt:2025:11011
BGF,027410,00219097,,,58.94,,185.09,13.03,,,,,opendart-acnt:2025:11011
BNK금융지주,138930,00858364,,,51.31,,9195.3,,,,,,opendart-acnt:2025:11011
DB,012030,00163345,,,49.16,,400.67,6.46,,,,,opendart-acnt:2025:11011
DB증권,016610,00115694,,,44.98,,6125.92,6.07,,,,,opendart-acnt:2025:11011
NICE인프라,063570,00363769,,,42.11,,2046.69,8,,,,,opendart-acnt:2025:11011
HL홀딩스,060980,00299002,,,39.03,,1289.07,6.64,,,,,opendart-acnt:2025:11011
SHD,001770,00137809,,,32.41,,413.41,2.73,,,,,opendart-acnt:2025:11011
MDS테크,086960,00445841,,,31.28,,331.39,3.1,,,,,opendart-acnt:2025:11011
KG스틸,016380,00115676,,,24.41,,148.99,4.72,,,,,opendart-acnt:2025:11011
GS건설,006360,00120030,,,21.83,,1830.34,3.52,,,,,opendart-acnt:2025:11011
LG유플러스,032640,00231363,,,19.78,,181.68,5.77,,,,,opendart-acnt:2025:11011
CJ씨푸드,011150,00129013,,,15.65,,414.94,-0.47,,,,,opendart-acnt:2025:11011
SG글로벌,001380,00152039,,,12.48,,111.29,5.31,,,,,opendart-acnt:2025:11011
LG디스플레이,034220,00105873,,,12.15,,383.86,2,,,,,opendart-acnt:2025:11011
HJ중공업,097230,00633835,,,11.86,,330.43,3.35,,,,,opendart-acnt:2025:11011
KG모빌리티,003620,00138242,,,7.86,,512.38,0.84,,,,,opendart-acnt:2025:11011
포스코엠텍,009520,00128111,,,6.78,,196.2,0.29,,,,,opendart-acnt:2025:11011
HL D&amp;I,014790,00161116,,,6.19,,349.66,4.58,,,,,opendart-acnt:2025:11011
NH프라임리츠,338100,01391033,,,1.55,,3.17,-5.04,,,,,opendart-acnt:2025:11011
미래에셋비전스팩11호,0099W0,01948220,,,-0.59,,1,,,,,,opendart-acnt:2025:11011
ESR켄달스퀘어리츠,365550,01437186,,,-1.5,,75.77,43.42,,,,,opendart-acnt:2025:11011
ES큐브,050120,00175623,,,-2.97,,6.92,-92.12,,,,,opendart-acnt:2025:11011
LS네트웍스,000680,00104698,,,-4.85,,2360.58,0.85,,,,,opendart-acnt:2025:11011
디비금융제14호스팩,0004Y0,01884065,,,-6.77,,0.1,,,,,,opendart-acnt:2025:11011
CMG제약,058820,00380429,,,-14.06,,140.23,-3.51,,,,,opendart-acnt:2025:11011
SH에너지화학,002360,00136457,,,-19.35,,25.2,-12.42,,,,,opendart-acnt:2025:11011
HLB이노베이션,024850,00155586,,,-46.6,,63.89,-116.39,,,,,opendart-acnt:2025:11011
DL,000210,00109693,,,-69.42,,1737.33,5.6,,,,,opendart-acnt:2025:11011
디아이동일,001530,00118345,,,-73.82,,2882.42,-0.26,,,,,opendart-acnt:2025:11011
LG생활건강,051900,00356370,,,-96.83,,1066.75,2.69,,,,,opendart-acnt:2025:11011
